residue,count,avg_steps,avg_v2,avg_log_drift,avg_odd_mult,theoretical_drift
1427,24414,111.2057,2.1291,-0.3772,0.9540,-0.2877
1429,24414,95.7196,2.2907,-0.4892,0.9171,-0.2877
1431,24414,118.7859,2.0750,-0.3397,0.9904,-0.2877
1433,24414,118.7859,2.0750,-0.3397,0.9592,-0.2877
1435,24414,126.1232,2.0308,-0.3090,0.9843,-0.2877
1437,24414,133.5707,1.9951,-0.2843,1.0016,-0.2877
1439,24414,141.2134,1.9639,-0.2627,1.0156,-0.2877
1441,24414,118.9211,2.0746,-0.3394,0.9498,-0.2877
1443,24414,111.3233,2.1285,-0.3767,0.9518,-0.2877
1445,24414,111.3233,2.1285,-0.3767,0.9627,-0.2877
1447,24414,126.1386,2.0317,-0.3097,0.9792,-0.2877
1449,24414,126.1689,2.0309,-0.3091,0.9980,-0.2877
1451,24414,126.2740,2.0304,-0.3087,0.9775,-0.2877
1453,24414,111.1729,2.1303,-0.3780,0.9355,-0.2877
1455,24414,126.1558,2.0306,-0.3089,0.9895,-0.2877
1457,24414,103.5179,2.1985,-0.4253,0.9065,-0.2877
1459,24414,103.5179,2.1985,-0.4253,0.9231,-0.2877
1461,24414,110.7834,2.1310,-0.3785,0.9511,-0.2877
1463,24414,126.2147,2.0309,-0.3091,0.9860,-0.2877
1465,24414,103.5179,2.1985,-0.4253,0.9379,-0.2877
1467,24414,118.7906,2.0754,-0.3399,0.9569,-0.2877
1469,24414,118.3720,2.0778,-0.3416,0.9665,-0.2877
1471,24414,149.0208,1.9367,-0.2438,1.0325,-0.2877
1473,24414,118.2868,2.0774,-0.3413,0.9563,-0.2877
1475,24414,126.3238,2.0309,-0.3091,0.9943,-0.2877
1477,24414,95.8904,2.2884,-0.4876,0.9038,-0.2877
1479,24414,118.3530,2.0770,-0.3410,0.9594,-0.2877
1481,24414,111.0623,2.1294,-0.3773,0.9483,-0.2877
1483,24414,118.7671,2.0744,-0.3393,0.9634,-0.2877
1485,24414,103.3607,2.1998,-0.4262,0.9045,-0.2877
1487,24414,133.6515,1.9952,-0.2843,1.0017,-0.2877
1489,24414,103.3607,2.1998,-0.4262,0.9286,-0.2877
1491,24414,126.3118,2.0300,-0.3085,0.9795,-0.2877
1493,24414,95.8904,2.2884,-0.4876,0.9206,-0.2877
1495,24414,118.7564,2.0739,-0.3389,0.9794,-0.2877
1497,24414,111.2243,2.1301,-0.3778,0.9612,-0.2877
1499,24414,110.9757,2.1306,-0.3782,0.9728,-0.2877
1501,24414,111.2243,2.1301,-0.3778,0.9348,-0.2877
1503,24414,134.3154,1.9922,-0.2823,1.0067,-0.2877
1505,24414,126.2029,2.0312,-0.3093,0.9792,-0.2877
1507,24414,95.8904,2.2884,-0.4876,0.9206,-0.2877
1509,24414,126.4202,2.0307,-0.3089,0.9895,-0.2877
1511,24414,126.2909,2.0314,-0.3094,0.9842,-0.2877
1513,24414,133.6518,1.9947,-0.2840,0.9958,-0.2877
1515,24414,141.4746,1.9629,-0.2620,1.0157,-0.2877
1517,24414,118.5200,2.0762,-0.3405,0.9511,-0.2877
1519,24414,133.9391,1.9944,-0.2838,1.0002,-0.2877
1521,24414,110.7730,2.1307,-0.3783,0.9448,-0.2877
1523,24414,110.8657,2.1310,-0.3785,0.9490,-0.2877
1525,24414,110.7730,2.1307,-0.3783,0.9624,-0.2877
1527,24414,126.1787,2.0308,-0.3091,0.9837,-0.2877
1529,24414,118.4853,2.0763,-0.3406,0.9592,-0.2877
1531,24414,126.6308,2.0301,-0.3085,0.9794,-0.2877
1533,24414,126.4751,2.0300,-0.3085,0.9935,-0.2877
1535,24414,141.6502,1.9627,-0.2618,1.0278,-0.2877
1537,24414,126.4091,2.0293,-0.3080,0.9726,-0.2877
1539,24414,103.2370,2.1999,-0.4263,0.9253,-0.2877
1541,24414,111.0743,2.1281,-0.3765,0.9370,-0.2877
1543,24414,118.6945,2.0749,-0.3396,0.9570,-0.2877
1545,24414,118.7727,2.0759,-0.3403,0.9627,-0.2877
1547,24414,111.0743,2.1281,-0.3765,0.9328,-0.2877
1549,24414,103.4195,2.1991,-0.4257,0.9087,-0.2877
1551,24414,118.6084,2.0751,-0.3397,0.9816,-0.2877
1553,24414,103.4195,2.1991,-0.4257,0.9158,-0.2877
1555,24414,126.1790,2.0313,-0.3094,0.9790,-0.2877
1557,24414,111.0063,2.1297,-0.3776,0.9611,-0.2877
1559,24414,118.4658,2.0756,-0.3401,0.9759,-0.2877
1561,24414,118.4658,2.0756,-0.3401,0.9588,-0.2877
1563,24414,133.9974,1.9940,-0.2835,1.0020,-0.2877
1565,24414,103.4195,2.1991,-0.4257,0.9287,-0.2877
1567,24414,134.1727,1.9925,-0.2825,0.9963,-0.2877
1569,24414,118.7884,2.0745,-0.3393,0.9521,-0.2877
1571,24414,111.0063,2.1297,-0.3776,0.9537,-0.2877
1573,24414,118.5637,2.0746,-0.3394,0.9685,-0.2877
1575,24414,110.8665,2.1310,-0.3785,0.9728,-0.2877
1577,24414,141.6606,1.9627,-0.2619,1.0158,-0.2877
1579,24414,111.0063,2.1297,-0.3776,0.9453,-0.2877
1581,24414,118.9683,2.0738,-0.3388,0.9596,-0.2877
