residue,max_run_1s,max_run_0s,hamming_weight,alternation_score,trailing_ones,trailing_zeros_3n1,mod_3,mod_9,mod_27,bit_entropy,avg_odd_mult,leading_ones,leading_zeros,trailing_zeros,longest_alternating_run,block_count,run_length_entropy,binary_compressibility,max_run_0s_dup,count,avg_steps,avg_peak,avg_v2
155,2.0000,2.0000,5.0000,5.0000,2.0000,1.0000,2.0000,2.0000,20.0000,1.0000,0.9914,0.0000,2.0000,0.0000,3.0000,6.0000,2.5219,1.6667,2.0000,48828,130.2325,541725163.5832,0.0000
157,3.0000,2.0000,5.0000,5.0000,1.0000,3.0000,1.0000,4.0000,22.0000,1.0000,0.9543,0.0000,2.0000,0.0000,3.0000,6.0000,2.4464,1.6667,2.0000,48828,114.7505,51484263.4302,0.0000
159,5.0000,2.0000,6.0000,3.0000,5.0000,1.0000,0.0000,6.0000,24.0000,0.9710,1.0261,0.0000,2.0000,0.0000,3.0000,4.0000,1.7610,2.5000,2.0000,48828,145.3386,2924772535.4146,0.0000
161,1.0000,4.0000,3.0000,5.0000,1.0000,2.0000,2.0000,8.0000,26.0000,0.8813,0.9870,0.0000,2.0000,0.0000,5.0000,6.0000,2.3219,1.6667,4.0000,48828,130.3466,321761362.5006,0.0000
163,2.0000,3.0000,4.0000,5.0000,2.0000,1.0000,1.0000,1.0000,1.0000,0.9710,0.9691,0.0000,2.0000,0.0000,5.0000,6.0000,2.4464,1.6667,3.0000,48828,114.6054,59699902.2082,0.0000
165,1.0000,2.0000,4.0000,7.0000,1.0000,4.0000,0.0000,3.0000,3.0000,0.9710,0.9838,0.0000,2.0000,0.0000,5.0000,8.0000,2.9219,1.2500,2.0000,48828,122.3036,106299921.6245,0.0000
167,3.0000,2.0000,5.0000,5.0000,3.0000,1.0000,2.0000,5.0000,5.0000,1.0000,1.0079,0.0000,2.0000,0.0000,5.0000,6.0000,2.4464,1.6667,2.0000,48828,137.5229,1001792545.3460,0.0000
169,1.0000,2.0000,4.0000,7.0000,1.0000,2.0000,1.0000,7.0000,7.0000,0.9710,1.0123,0.0000,2.0000,0.0000,7.0000,8.0000,2.9219,1.2500,2.0000,48828,137.8391,1188940048.3664,0.0000
171,2.0000,2.0000,5.0000,7.0000,2.0000,1.0000,0.0000,0.0000,9.0000,1.0000,0.9463,0.0000,2.0000,0.0000,8.0000,8.0000,2.9219,1.2500,2.0000,48828,114.8087,59983966.9263,0.0000
173,2.0000,2.0000,5.0000,7.0000,1.0000,3.0000,2.0000,2.0000,11.0000,1.0000,0.9190,0.0000,2.0000,0.0000,6.0000,8.0000,2.9219,1.2500,2.0000,48828,107.3210,31878952.3232,0.0000
175,4.0000,2.0000,6.0000,5.0000,4.0000,1.0000,1.0000,4.0000,13.0000,0.9710,0.9931,0.0000,2.0000,0.0000,6.0000,6.0000,2.3219,1.6667,2.0000,48828,130.2592,2414351983.6063,0.0000
177,2.0000,3.0000,4.0000,5.0000,1.0000,2.0000,0.0000,6.0000,15.0000,0.9710,0.9499,0.0000,2.0000,0.0000,4.0000,6.0000,2.4464,1.6667,3.0000,48828,114.8094,48210326.0908,0.0000
179,2.0000,2.0000,5.0000,5.0000,2.0000,1.0000,2.0000,8.0000,17.0000,1.0000,0.9579,0.0000,2.0000,0.0000,4.0000,6.0000,2.5219,1.6667,2.0000,48828,114.8094,59373615.6930,0.0000
181,2.0000,2.0000,5.0000,7.0000,1.0000,5.0000,1.0000,1.0000,19.0000,1.0000,0.9072,0.0000,2.0000,0.0000,5.0000,8.0000,2.9219,1.2500,2.0000,48828,99.9312,27287503.1249,0.0000
183,3.0000,2.0000,6.0000,5.0000,3.0000,1.0000,0.0000,3.0000,21.0000,0.9710,0.9926,0.0000,2.0000,0.0000,4.0000,6.0000,2.4464,1.6667,2.0000,48828,129.7114,394717744.6609,0.0000
185,3.0000,2.0000,5.0000,5.0000,1.0000,2.0000,2.0000,5.0000,23.0000,1.0000,0.9685,0.0000,2.0000,0.0000,4.0000,6.0000,2.4464,1.6667,2.0000,48828,122.5433,148256221.1295,0.0000
187,3.0000,2.0000,6.0000,5.0000,2.0000,1.0000,1.0000,7.0000,25.0000,0.9710,0.9935,0.0000,2.0000,0.0000,4.0000,6.0000,2.4464,1.6667,2.0000,48828,130.2334,435441765.6623,0.0000
189,4.0000,2.0000,6.0000,5.0000,1.0000,3.0000,0.0000,0.0000,0.0000,0.9710,0.9681,0.0000,2.0000,0.0000,4.0000,6.0000,2.3219,1.6667,2.0000,48828,122.3473,97964641.0657,0.0000
191,6.0000,2.0000,7.0000,3.0000,6.0000,1.0000,2.0000,2.0000,2.0000,0.8813,0.9998,0.0000,2.0000,0.0000,4.0000,4.0000,1.5710,2.5000,2.0000,48828,129.9116,3029085888.4414,0.0000
193,2.0000,5.0000,3.0000,3.0000,1.0000,2.0000,1.0000,4.0000,4.0000,0.8813,0.9396,0.0000,2.0000,0.0000,2.0000,4.0000,1.7610,2.5000,5.0000,48828,115.3227,57674907.3065,0.0000
195,2.0000,4.0000,4.0000,3.0000,2.0000,1.0000,0.0000,6.0000,6.0000,0.9710,0.9679,0.0000,2.0000,0.0000,2.0000,4.0000,1.9219,2.5000,4.0000,48828,115.3227,68850234.8884,0.0000
