n,T_n,v_2,multiplier,log_drift
573001,429751,2,0.75,-0.287681
574001,430501,2,0.75,-0.287681
575001,431251,2,0.75,-0.287681
576001,432001,2,0.75,-0.287681
577001,432751,2,0.75,-0.287681
578001,433501,2,0.75,-0.287681
579001,434251,2,0.75,-0.287681
580001,435001,2,0.75,-0.287681
581001,435751,2,0.75,-0.287681
582001,436501,2,0.75,-0.287681
583001,437251,2,0.75,-0.287682
584001,438001,2,0.75,-0.287682
585001,438751,2,0.75,-0.287682
586001,439501,2,0.75,-0.287682
587001,440251,2,0.75,-0.287682
588001,441001,2,0.75,-0.287682
589001,441751,2,0.75,-0.287682
590001,442501,2,0.75,-0.287682
591001,443251,2,0.75,-0.287682
592001,444001,2,0.75,-0.287682
593001,444751,2,0.75,-0.287682
594001,445501,2,0.75,-0.287682
595001,446251,2,0.75,-0.287682
596001,447001,2,0.75,-0.287682
597001,447751,2,0.75,-0.287682
598001,448501,2,0.75,-0.287682
599001,449251,2,0.75,-0.287682
600001,450001,2,0.75,-0.287682
601001,450751,2,0.75,-0.287682
602001,451501,2,0.75,-0.287682
603001,452251,2,0.75,-0.287682
604001,453001,2,0.75,-0.287682
605001,453751,2,0.75,-0.287682
606001,454501,2,0.75,-0.287682
607001,455251,2,0.75,-0.287682
608001,456001,2,0.75,-0.287682
609001,456751,2,0.75,-0.287682
610001,457501,2,0.75,-0.287682
611001,458251,2,0.75,-0.287682
612001,459001,2,0.75,-0.287682
613001,459751,2,0.75,-0.287682
614001,460501,2,0.75,-0.287682
615001,461251,2,0.75,-0.287682
616001,462001,2,0.75,-0.287682
617001,462751,2,0.75,-0.287682
618001,463501,2,0.75,-0.287682
619001,464251,2,0.75,-0.287682
620001,465001,2,0.75,-0.287682
621001,465751,2,0.75,-0.287682
622001,466501,2,0.75,-0.287682
623001,467251,2,0.75,-0.287682
624001,468001,2,0.75,-0.287682
625001,468751,2,0.75,-0.287682
626001,469501,2,0.75,-0.287682
627001,470251,2,0.75,-0.287682
628001,471001,2,0.75,-0.287682
629001,471751,2,0.75,-0.287682
630001,472501,2,0.75,-0.287682
631001,473251,2,0.75,-0.287682
632001,474001,2,0.75,-0.287682
633001,474751,2,0.75,-0.287682
634001,475501,2,0.75,-0.287682
635001,476251,2,0.75,-0.287682
636001,477001,2,0.75,-0.287682
637001,477751,2,0.75,-0.287682
638001,478501,2,0.75,-0.287682
639001,479251,2,0.75,-0.287682
640001,480001,2,0.75,-0.287682
641001,480751,2,0.75,-0.287682
642001,481501,2,0.75,-0.287682
643001,482251,2,0.75,-0.287682
644001,483001,2,0.75,-0.287682
645001,483751,2,0.75,-0.287682
646001,484501,2,0.75,-0.287682
647001,485251,2,0.75,-0.287682
648001,486001,2,0.75,-0.287682
649001,486751,2,0.75,-0.287682
650001,487501,2,0.75,-0.287682
651001,488251,2,0.75,-0.287682
652001,489001,2,0.75,-0.287682
653001,489751,2,0.75,-0.287682
