residue,max_run_1s,max_run_0s,hamming_weight,alternations,trailing_ones,tz_3n1,mod3,mod9,mod27,entropy,avg_odd_mult,count,avg_stopping_time,avg_v2,avg_peak
243,4,2,6,3,2,1,0,0,0,0.970951,0.973319,48828,122.449,1,1.52141e+008
245,4,2,6,5,1,5,2,2,2,0.970951,0.94771,48828,107.106,5,7.94168e+007
247,4,2,7,3,3,1,1,4,4,0.881291,0.954119,48828,114.728,1,9.38288e+007
249,5,2,6,3,1,2,0,6,6,0.970951,0.968196,48828,122.587,2,1.38625e+008
251,5,2,7,3,2,1,2,8,8,0.881291,1.00801,48828,137.634,1,1.32656e+009
253,6,2,7,3,1,3,1,1,10,0.881291,0.982992,48828,122.475,3,1.51531e+008
255,8,2,8,1,8,1,0,3,12,0.721928,1.02057,48828,137.887,1,3.7201e+009
257,1,7,2,3,1,2,2,5,14,0.721928,0.938587,48828,115.158,2,1.00018e+008
259,2,6,3,3,2,1,1,7,16,0.881291,0.979879,48828,122.916,1,1.50562e+008
261,1,5,3,5,1,4,0,0,18,0.881291,0.906119,48828,99.7335,4,7.8003e+007
263,3,5,4,3,3,1,2,2,20,0.970951,0.993486,48828,130.493,1,2.45407e+009
265,1,4,3,5,1,2,1,4,22,0.881291,0.966201,48828,122.445,2,2.47645e+008
267,2,4,4,5,2,1,0,6,24,0.970951,0.944347,48828,115.176,1,9.52825e+007
269,2,4,4,5,1,3,2,8,26,0.970951,0.929524,48828,107.4,3,8.159e+007
271,4,4,5,3,4,1,1,1,1,1,0.97884,48828,114.907,1,5.15478e+008
273,1,3,3,5,1,2,0,3,3,0.881291,0.916097,48828,107.4,2,8.159e+007
275,2,3,4,5,2,1,2,5,5,0.970951,0.993313,48828,130.089,1,7.23482e+008
277,1,3,4,7,1,6,1,7,7,0.970951,0.91545,48828,99.854,6,7.64185e+007
279,3,3,5,5,3,1,0,0,9,1,0.969862,48828,114.932,1,9.30526e+007
281,2,3,4,5,1,2,2,2,11,0.970951,0.972842,48828,122.346,2,1.5098e+008
283,2,3,5,5,2,1,1,4,13,1,1.01255,48828,137.865,1,9.95659e+008
285,3,3,5,5,1,3,0,6,15,1,0.968235,48828,122.593,3,1.3468e+008
287,5,3,6,3,5,1,2,8,17,0.970951,0.988143,48828,122.496,1,1.99652e+008
289,1,4,3,5,1,2,1,1,19,0.881291,0.941796,48828,107.31,2,8.25836e+007
291,2,3,4,5,2,1,0,3,21,0.970951,0.963717,48828,114.693,1,1.03372e+008
293,1,2,4,7,1,4,2,5,23,0.970951,0.9577,48828,114.693,4,1.03372e+008
295,3,2,5,5,3,1,1,7,25,1,0.973022,48828,122.508,1,1.44377e+008
297,1,2,4,7,1,2,0,0,0,0.970951,0.992771,48828,130.045,2,3.48035e+008
